88.665	348.194	1.196	42.14	9.212	80.819	1.037	5.713	5.739	1415.51	
89.53	367.626	1.152	30.465	14.362	94.303	1.037	6.052	6.163	1609.932	
90.541	475.868	1.267	49.721	9.575	129.707	1.038	5.933	6.141	1713.693	
88.799	457.464	1.197	34.483	13.277	117.168	1.03	5.206	5.756	1989.203	
90.217	372.608	1.218	34.158	15.215	95.814	1.028	5.465	7.608	2023.341	
91.156	338.695	1.284	42.591	11.695	91.014	1.042	5.407	7.901	1456.972	
88.634	477.208	1.226	47.233	8.039	102.438	1.05	5.795	4.714	1351.014	
88.362	463.04	1.123	32.408	12.533	118.248	1.035	5.599	7.602	1917.745	
89.889	490.979	1.166	34.394	13.037	98.817	1.014	5.308	8.392	1733.653	
90.084	374.316	1.239	46.592	10.449	115.281	1.039	6.198	6.431	1285.641	
89.943	474.94	1.141	33.223	14.293	86.392	1.02	5.298	6.211	1870.385	
90.747	472.338	1.147	48.042	10.906	96.489	1.024	5.171	7.903	1239.233	
89.107	358.706	1.227	48.607	15.364	87.571	1.05	5.749	7.034	1082.797	
88.979	420.05	1.138	45.189	13.257	122.145	1.012	6.224	6.0	2121.859	
90.276	352.421	1.161	39.699	11.664	85.817	1.026	6.024	8.232	1094.387	
89.555	389.608	1.177	31.121	9.995	91.268	1.027	5.852	7.883	1661.998	
88.743	421.66	1.288	44.797	15.344	111.511	1.023	5.056	4.658	1628.307	
89.367	370.205	1.132	41.083	11.763	88.439	1.036	5.51	6.896	1182.19	
89.067	489.363	1.25	35.643	13.122	106.416	1.018	6.021	6.554	1409.351	
89.603	384.469	1.154	30.3	15.334	124.64	1.019	6.231	5.019	2163.387	
88.875	421.737	1.128	47.117	10.556	112.04	1.015	6.008	4.613	1076.523	
89.346	471.92	1.207	40.905	16.993	103.09	1.027	5.863	5.179	1506.903	
90.694	364.994	1.157	32.945	10.619	87.076	1.035	5.34	6.656	1674.709	
90.648	415.65	1.214	36.526	10.266	129.88	1.034	5.753	7.059	2092.633	
88.755	433.952	1.162	39.904	9.512	91.377	1.033	5.005	6.927	1931.634	
89.38	478.581	1.194	49.066	8.991	104.001	1.042	6.282	5.14	1327.971	
88.773	448.211	1.184	49.221	8.69	127.206	1.014	5.842	4.037	1978.213	
89.152	376.81	1.141	42.819	15.841	110.197	1.013	6.08	5.847	1819.498	
90.496	371.912	1.296	43.752	13.818	85.657	1.034	5.912	5.243	1262.682	
89.547	398.189	1.149	44.789	15.039	106.703	1.02	5.094	6.161	1470.479	
88.79	355.702	1.292	35.24	10.959	104.639	1.012	5.801	6.8	2115.49	
89.117	352.986	1.181	38.454	15.221	89.591	1.013	6.23	5.71	1988.139	
89.914	350.918	1.13	50.015	10.649	108.977	1.045	5.598	7.253	1684.841	
90.141	469.18	1.114	47.459	11.544	122.616	1.019	6.244	5.237	1923.802	
88.71	351.487	1.217	30.436	9.803	82.345	1.035	5.167	7.241	1490.256	
88.981	403.5	1.122	48.196	11.283	112.338	1.011	5.898	6.332	1328.126	
90.98	483.154	1.242	48.463	11.79	113.218	1.019	5.119	6.799	2170.675	
88.766	429.413	1.121	43.638	8.306	114.143	1.031	6.26	6.809	1563.067	
90.133	395.163	1.264	32.856	16.987	119.217	1.018	5.726	4.317	1910.999	
89.267	446.787	1.201	44.749	9.93	116.035	1.042	6.139	7.192	1574.223	
90.097	389.829	1.211	34.709	11.528	124.734	1.05	6.395	6.005	1862.984	
89.512	462.826	1.25	50.152	8.303	108.449	1.028	6.096	5.094	2069.848	
89.931	401.849	1.141	35.054	10.741	126.367	1.041	5.827	7.604	1430.962	
89.855	448.803	1.269	49.08	12.802	101.472	1.015	5.042	6.485	1158.478	
88.414	464.984	1.15	41.203	16.21	124.763	1.037	6.358	6.466	1622.318	
89.469	479.272	1.234	39.055	8.562	128.426	1.047	5.65	8.471	1529.204	
88.918	484.413	1.226	49.826	8.066	103.474	1.027	5.702	6.963	1865.085	
87.639	465.434	1.15	31.59	10.493	128.81	1.019	6.271	7.887	1498.242	
88.649	368.742	1.122	30.276	8.276	108.405	1.027	5.604	5.071	1704.038	
